City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Atuona,PF,78.82,clear sky,-9.8,-139.03,Villa Enata
6,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
7,Ozuluama,MX,84.2,few clouds,21.67,-97.85,Pailon Quil
12,Santa Isabel Do Rio Negro,BR,81.41,overcast clouds,-0.41,-65.02,Hotel GSA
14,Tecpan,GT,77.0,scattered clouds,14.76,-90.99,San Ricardo Restaurante y Hotel
15,Buala,SB,81.16,light rain,-8.14,159.59,Maringe Lagoon Lodge
24,Sao Filipe,CV,80.83,scattered clouds,14.9,-24.5,Tortuga B&B
25,Victoria,HK,80.01,few clouds,22.29,114.16,Mini Hotel Central
26,Forestville,US,75.2,few clouds,38.85,-76.88,Quality Inn
29,Kota Kinabalu,MY,75.2,light rain,5.97,116.07,Gaya Centre Hotel
31,Carutapera,BR,80.24,overcast clouds,-1.2,-46.02,Lidera
32,Cidreira,BR,70.25,few clouds,-30.18,-50.21,Hotel Castelo
33,Rio Grande,BR,70.0,overcast clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
34,Butaritari,KI,81.05,few clouds,3.07,172.79,Isles Sunset Lodge
39,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
45,Sohbatpur,PK,82.94,clear sky,28.52,68.54,قادری ہوٹل
47,Sattahip,TH,78.8,few clouds,12.67,100.9,Makmai Sailom Heights
48,Fare,PF,79.59,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
50,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
63,Hithadhoo,MV,82.67,overcast clouds,-0.6,73.08,Scoop Guest House
75,Avarua,CK,78.8,clear sky,-21.21,-159.78,Paradise Inn
79,Isangel,VU,73.74,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
82,Barinas,VE,86.23,scattered clouds,8.62,-70.21,Hotel Suites Mastranto
83,Rikitea,PF,73.29,few clouds,-23.12,-134.97,Pension Maro'i
84,Denpasar,ID,80.6,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
85,Hilo,US,75.2,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
88,Cairns,AU,71.6,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
93,Shahpur,IN,74.82,overcast clouds,16.7,76.83,Sai Deluxe Shahapur
95,Arraial Do Cabo,BR,78.8,few clouds,-22.97,-42.03,Pousada Porto Praia
96,Gurupa,BR,87.53,overcast clouds,-1.41,-51.64,Residencial DWD
98,Labuhan,ID,79.5,few clouds,-6.88,112.21,bador sepret
99,Marawi,PH,75.99,broken clouds,8.0,124.29,Derogongan Residence
101,Winnemucca,US,86.0,clear sky,40.97,-117.74,Winners Inn Casino
102,Kawalu,ID,73.58,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
106,Turayf,SA,77.0,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
107,Sao Joao Da Barra,BR,80.6,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
111,Carmen,MX,82.4,overcast clouds,18.63,-91.83,Hotel Lossandes
113,Kapaa,US,84.2,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
119,Lazaro Cardenas,MX,85.23,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
120,Ponta Do Sol,PT,71.6,few clouds,32.67,-17.1,Hotel do Campo
123,Manokwari,ID,79.81,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
126,Maningrida,AU,72.54,scattered clouds,-12.07,134.27,Dhukurrdji Lodge
131,Bima,ID,75.22,clear sky,-8.47,118.72,Lambitu Hotel
132,Mananjary,MG,71.58,scattered clouds,-21.22,48.33,Vahiny Lodge
134,Mecca,SA,84.04,few clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
135,Tual,ID,79.54,overcast clouds,-5.67,132.75,Grand Vilia Hotel
143,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
144,Salalah,OM,77.0,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
145,Kota Tinggi,MY,77.0,few clouds,1.74,103.9,Canopy Tribe
147,Dingle,PH,75.7,broken clouds,11.0,122.67,Camp Pasica
148,Nicoya,CR,87.8,shower rain,10.15,-85.45,Guayacan Real
153,Katherine,AU,73.4,few clouds,-14.47,132.27,Pine Tree Motel
156,Kassala,SD,82.36,light rain,15.45,36.4,Amassi Hotel Gash
157,Ilhabela,BR,78.73,few clouds,-23.78,-45.36,Ilha Flat Hotel
160,Felipe Carrillo Puerto,MX,85.78,light rain,19.58,-88.05,Hotel La Ceiba
161,Yongchang,CN,70.0,broken clouds,30.04,119.73,Fuli Hotel
163,Nanakuli,US,87.8,clear sky,21.39,-158.15,Camp Pālehua
164,Reconquista,AR,77.36,clear sky,-29.15,-59.65,Grand Hotel
166,Bethel,US,72.0,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
167,Hobyo,SO,76.89,broken clouds,5.35,48.53,Osmani Hotel
168,Kavieng,PG,82.29,moderate rain,-2.57,150.8,Nusa Island Retreat
169,Awbari,LY,81.81,clear sky,26.59,12.78,فندق أوباري
172,Abu Dhabi,AE,89.6,clear sky,24.47,54.37,Beach Rotana
173,Abdanan,IR,71.1,clear sky,32.99,47.42,سیروس عنبری
178,Castro,BR,78.94,clear sky,-24.79,-50.01,CHACARA BAILLY
183,Riverton,US,79.0,clear sky,40.52,-111.94,Ramada by Wyndham Draper
187,Port Saint Lucie,US,79.0,light rain,27.29,-80.35,Best Western Port St. Lucie
189,Melilla,ES,75.2,clear sky,35.29,-2.94,Hôtel Anfora
191,Tshikapa,CD,72.72,light rain,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
193,Bengkulu,ID,76.03,light rain,-3.8,102.27,Grage Hotel Bengkulu
199,Hopkinsville,US,71.6,scattered clouds,36.87,-87.49,Rodeway Inn
201,Los Llanos De Aridane,ES,73.4,broken clouds,28.66,-17.92,Valle Aridane
203,Alofi,NU,80.6,scattered clouds,-19.06,-169.92,Taloa Heights
210,Tezu,IN,75.06,heavy intensity rain,27.92,96.17,Circuit House
212,Old Saybrook,US,73.4,clear sky,41.29,-72.38,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
213,Kpalime,TG,71.06,few clouds,6.9,0.63,Hotel La Lumiere Kpalimé
214,Mayo,US,71.6,scattered clouds,38.89,-76.51,Resorts Resource Group International
216,Progreso,MX,79.0,thunderstorm with light rain,21.28,-89.67,Playa Linda Hotel
217,Morondava,MG,76.64,clear sky,-20.28,44.28,La Case Bambou
219,Diffa,NE,88.7,broken clouds,13.32,12.61,ProDAF/Diffa
220,Westport,US,71.01,few clouds,41.14,-73.36,The Westport Inn
222,Howard Springs,AU,75.99,few clouds,-12.5,131.05,buffalo beach hostel
228,Naze,JP,71.6,scattered clouds,28.37,129.48,奄美ポートタワーホテル
229,Vanimo,PG,76.98,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
230,Mombasa,KE,76.1,light rain,-4.05,39.66,New Palm Tree Hotel
231,Meulaboh,ID,76.28,overcast clouds,4.14,96.13,Kost Pria
233,Moses Lake,US,73.4,clear sky,47.13,-119.28,Ramada by Wyndham Moses Lake
242,Teahupoo,PF,82.4,scattered clouds,-17.83,-149.27,Vanira Lodge
243,Maumere,ID,78.8,broken clouds,-8.62,122.21,Sylvia Hotel
244,Madison,US,73.4,clear sky,34.73,-86.57,Embassy Suites by Hilton Huntsville Hotel & Spa
245,Faanui,PF,78.82,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
251,Grand-Santi,GF,81.41,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
253,Caravelas,BR,75.29,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
256,Quelimane,MZ,77.0,clear sky,-17.88,36.89,Hotel Flamingo
260,Luanda,AO,73.4,few clouds,-8.84,13.23,EPIC SANA Luanda
265,Lorengau,PG,80.91,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
266,Mareeba,AU,71.6,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
267,Santa Marta,CO,84.31,light rain,11.24,-74.2,Hotel La Ballena Azul
268,San Juan,AR,70.95,clear sky,-31.54,-68.54,Hotel Provincial
272,Lamar,US,78.01,clear sky,33.67,-95.58,Kings Inn Paris TX
273,Sesheke,ZM,77.0,overcast clouds,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
278,Sao Felix Do Xingu,BR,76.12,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
287,Nanning,CN,75.2,overcast clouds,22.82,108.32,Nanning Travelling With Hostel
289,Coahuayana,MX,80.6,broken clouds,18.73,-103.68,Hotel Los Arcos
