,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.92,37.4,44,40,17.22,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,28.4,92,75,17.22,light snow
2,Beinamar,TD,8.67,15.38,73.24,89,96,2.35,overcast clouds
3,Atuona,PF,-9.8,-139.03,78.82,75,3,21.94,clear sky
4,Tessalit,ML,20.2,1.01,92.3,11,12,13.82,few clouds
5,Ahipara,NZ,-35.17,173.17,57.81,64,89,4.81,overcast clouds
6,Puerto Ayora,EC,-0.74,-90.35,78.8,57,20,18.34,few clouds
7,Ozuluama,MX,21.67,-97.85,84.2,42,20,4.7,few clouds
8,Saldanha,ZA,-33.01,17.94,55.4,76,98,8.05,light rain
9,Lebu,CL,-37.62,-73.65,51.22,66,0,9.69,clear sky
10,Bluff,NZ,-46.6,168.33,54.0,61,88,8.01,overcast clouds
11,Lagoa,PT,39.05,-27.98,69.3,84,59,13.91,broken clouds
12,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,81.41,92,100,1.63,overcast clouds
13,Souillac,MU,-20.52,57.52,68.0,82,40,4.7,scattered clouds
14,Tecpan,GT,14.76,-90.99,77.0,57,40,11.41,scattered clouds
15,Buala,SB,-8.14,159.59,81.16,78,12,8.41,light rain
16,Kaeo,NZ,-35.1,173.78,57.34,69,96,4.94,overcast clouds
17,Sitka,US,57.05,-135.33,53.6,87,20,3.36,few clouds
18,Dikson,RU,73.51,80.55,36.91,79,97,18.41,overcast clouds
19,Pevek,RU,69.7,170.31,37.18,80,96,17.69,overcast clouds
20,Mataura,NZ,-46.19,168.86,54.0,61,67,8.01,broken clouds
21,Tiksi,RU,71.69,128.87,24.85,95,97,16.33,overcast clouds
22,Shetpe,KZ,44.17,52.12,55.81,40,1,11.32,clear sky
23,Obo,CF,5.4,26.49,70.54,91,100,2.89,overcast clouds
24,Sao Filipe,CV,14.9,-24.5,80.83,81,43,5.26,scattered clouds
25,Victoria,HK,22.29,114.16,80.01,80,24,1.01,few clouds
26,Forestville,US,38.85,-76.88,75.2,49,20,6.93,few clouds
27,Meshchovsk,RU,54.32,35.28,52.02,60,81,11.63,broken clouds
28,Tasiilaq,GL,65.61,-37.64,35.6,74,100,43.62,light intensity shower rain
29,Kota Kinabalu,MY,5.97,116.07,75.2,100,40,3.36,light rain
30,Sobolevo,RU,54.43,31.9,51.78,58,88,11.92,overcast clouds
31,Carutapera,BR,-1.2,-46.02,80.24,74,94,8.61,overcast clouds
32,Cidreira,BR,-30.18,-50.21,70.25,81,15,15.32,few clouds
33,Rio Grande,BR,-32.03,-52.1,70.0,91,86,7.23,overcast clouds
34,Butaritari,KI,3.07,172.79,81.05,72,22,14.74,few clouds
35,Carnarvon,AU,-24.87,113.63,64.4,93,75,10.29,broken clouds
36,Kibala,TD,9.11,18.35,77.0,94,0,2.8,light rain
37,Hualmay,PE,-11.1,-77.61,67.12,69,21,12.41,few clouds
38,Fairbanks,US,64.84,-147.72,59.0,41,1,4.7,clear sky
39,Vaini,TO,-21.2,-175.2,73.4,94,75,9.17,broken clouds
40,Geraldton,AU,-28.77,114.6,53.6,87,90,10.29,overcast clouds
41,Airai,TL,-8.93,125.41,58.51,66,36,4.12,scattered clouds
42,Qaanaaq,GL,77.48,-69.36,15.15,79,0,5.17,clear sky
43,Kloulklubed,PW,7.04,134.26,77.0,94,75,4.7,broken clouds
44,Iwanai,JP,42.97,140.51,54.7,88,35,5.5,scattered clouds
45,Sohbatpur,PK,28.52,68.54,82.94,15,0,10.74,clear sky
46,Chuy,UY,-33.7,-53.46,59.68,78,79,10.85,broken clouds
47,Sattahip,TH,12.67,100.9,78.8,83,20,3.36,few clouds
48,Fare,PF,-16.7,-151.02,79.59,77,6,21.05,clear sky
49,Hermanus,ZA,-34.42,19.23,55.99,73,96,4.0,light rain
50,Cockburn Town,TC,21.46,-71.14,87.8,70,40,18.34,scattered clouds
51,Mar Del Plata,AR,-38.0,-57.56,57.2,44,20,12.75,few clouds
52,Avera,US,33.19,-82.53,80.6,42,1,8.05,clear sky
53,Yellowknife,CA,62.46,-114.35,46.0,81,75,19.46,broken clouds
54,Zhigansk,RU,66.77,123.37,27.77,93,86,10.36,overcast clouds
55,Provideniya,RU,64.38,-173.3,42.8,81,90,15.66,light rain
56,Bagdarin,RU,54.43,113.6,31.55,96,100,5.75,overcast clouds
57,Hobart,AU,-42.88,147.33,59.0,38,20,17.22,few clouds
58,Lavrentiya,RU,65.58,-171.0,36.91,90,100,12.39,moderate rain
59,Jaworzno,PL,50.21,19.27,54.0,95,100,0.83,overcast clouds
60,Albany,US,42.6,-73.97,70.0,44,11,6.11,few clouds
61,Amot,NO,59.57,7.99,51.01,88,100,1.01,overcast clouds
62,Vardo,NO,70.37,31.11,46.4,87,75,25.28,broken clouds
63,Hithadhoo,MV,-0.6,73.08,82.67,68,97,2.26,overcast clouds
64,Jamestown,US,42.1,-79.24,55.99,81,90,4.7,overcast clouds
65,Camacupa,AO,-12.02,17.48,67.46,74,82,2.28,broken clouds
66,Juneau,US,58.3,-134.42,54.0,94,100,2.51,overcast clouds
