City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kabelvag,NO,2020-09-28 23:50:58,68.21,14.48,50.0,88,45,9.48
1,Budogoshch,RU,2020-09-28 23:50:58,59.28,32.47,51.06,87,75,5.5
2,Busselton,AU,2020-09-28 23:50:58,-33.65,115.33,57.99,95,83,3.0
3,Rikitea,PF,2020-09-28 23:50:59,-23.12,-134.97,72.25,89,36,17.52
4,Poltavka,RU,2020-09-28 23:50:59,54.37,71.76,50.74,88,100,14.45
5,New Norfolk,AU,2020-09-28 23:50:59,-42.78,147.06,55.0,64,8,1.99
6,Kununurra,AU,2020-09-28 23:51:00,-15.77,128.73,84.2,62,63,1.12
7,Barrow,US,2020-09-28 23:51:00,71.29,-156.79,30.2,80,90,12.75
8,Rehoboth,NA,2020-09-28 23:51:00,-23.32,17.08,44.6,46,0,2.59
9,Puerto Ayora,EC,2020-09-28 23:49:15,-0.74,-90.35,68.0,85,91,5.01
10,Mahebourg,MU,2020-09-28 23:51:01,-20.41,57.7,73.4,83,40,10.29
11,Vaitape,PF,2020-09-28 23:46:08,-16.52,-151.75,78.93,79,8,18.43
12,Dickinson,US,2020-09-28 23:51:01,29.46,-95.05,75.2,41,40,20.8
13,Ribeira Grande,PT,2020-09-28 23:51:01,38.52,-28.7,68.16,86,100,21.61
14,Kilindoni,TZ,2020-09-28 23:51:02,-7.91,39.67,76.28,82,98,8.32
15,Cabo San Lucas,MX,2020-09-28 23:51:02,22.89,-109.91,89.6,52,5,10.29
16,Matara,LK,2020-09-28 23:51:02,5.95,80.54,78.24,86,92,9.73
17,Fukue,JP,2020-09-28 23:51:02,32.69,128.84,68.0,82,40,3.36
18,Jamestown,US,2020-09-28 23:47:36,42.1,-79.24,73.0,60,1,6.93
19,Kapaa,US,2020-09-28 23:51:03,22.08,-159.32,84.99,70,20,8.05
20,Souillac,MU,2020-09-28 23:51:03,-20.52,57.52,73.4,83,40,10.29
21,Adrar,MR,2020-09-28 23:51:03,20.5,-10.07,88.23,24,0,12.41
22,Vardo,NO,2020-09-28 23:51:04,70.37,31.11,50.0,87,75,5.82
23,Flinders,AU,2020-09-28 23:51:04,-34.58,150.86,64.0,54,40,4.7
24,Morgan City,US,2020-09-28 23:51:04,29.7,-91.21,73.4,88,90,13.87
